identity_id,customer_id,identifier_type,identifier_value,device_type,browser,ip_region,active_hours,confidence,matched_by
ID_76099C8F,CUST_B892658B,email,anthony509@gmail.com,,,DL,Morning,1.0,deterministic
ID_AC016DC0,CUST_B892658B,device_id,DEV_8C3AEABA,Tablet,Chrome,MH,Afternoon,1.0,deterministic
ID_32F7FBCE,CUST_B892658B,phone,919857258269,,,KA,Night,1.0,deterministic
ID_D69C60B3,CUST_C1F5099A,email,wazir119@gmail.com,,,DL,Afternoon,1.0,deterministic
ID_3354FFCB,CUST_C1F5099A,device_id,DEV_0D1A4175,Mobile,Edge,MH,Night,1.0,deterministic
ID_870F407C,CUST_C1F5099A,phone,917625806039,,,DL,Night,1.0,deterministic
ID_07C5892C,CUST_81A45894,email,chakradhar858@gmail.com,,,TN,Evening,1.0,deterministic
ID_065779BE,CUST_81A45894,device_id,DEV_98B045A0,Mobile,Firefox,DL,Afternoon,1.0,deterministic
ID_81244578,CUST_81A45894,phone,919732059696,,,MH,Evening,1.0,deterministic
ID_23EC4F7D,CUST_4992E778,email,david84@gmail.com,,,KA,Morning,1.0,deterministic
ID_3BF222BC,CUST_4992E778,device_id,DEV_4CA61DAE,Tablet,Chrome,DL,Evening,1.0,deterministic
ID_94558A45,CUST_4992E778,phone,919206309876,,,TN,Evening,1.0,deterministic
ID_25811A74,CUST_EDB28AF9,email,jonathan401@gmail.com,,,MH,Evening,1.0,deterministic
ID_F995F336,CUST_EDB28AF9,device_id,DEV_60C9994C,Desktop,Edge,KA,Afternoon,1.0,deterministic
ID_B66D1898,CUST_EDB28AF9,phone,917214373103,,,DL,Morning,1.0,deterministic
ID_6FD06CFA,CUST_FEED1B22,email,urvashi180@gmail.com,,,KA,Morning,1.0,deterministic
ID_62FCBA08,CUST_FEED1B22,device_id,DEV_8A7070CF,Desktop,Safari,TN,Evening,1.0,deterministic
ID_1EF159AA,CUST_FEED1B22,phone,917394502589,,,MH,Morning,1.0,deterministic
ID_5A3982F0,CUST_C11A6B23,email,chatura633@gmail.com,,,DL,Afternoon,1.0,deterministic
ID_6D4E4C07,CUST_C11A6B23,device_id,DEV_40160170,Mobile,Firefox,MH,Night,1.0,deterministic
ID_97D7D9D5,CUST_C11A6B23,phone,918305578768,,,DL,Afternoon,1.0,deterministic
ID_099DB174,CUST_CD4F31D7,email,tanveer172@gmail.com,,,MH,Morning,1.0,deterministic
ID_0067DA2A,CUST_CD4F31D7,device_id,DEV_D89D437A,Tablet,Chrome,MH,Night,1.0,deterministic
ID_B064984D,CUST_CD4F31D7,phone,918323899249,,,MH,Evening,1.0,deterministic
ID_79BFDB04,CUST_3D9B9641,email,nathaniel754@gmail.com,,,KA,Evening,1.0,deterministic
ID_1BECB5A3,CUST_3D9B9641,device_id,DEV_634E169A,Tablet,Chrome,DL,Morning,1.0,deterministic
ID_8A9758CC,CUST_3D9B9641,phone,917063251514,,,KA,Morning,1.0,deterministic
ID_CDF12AAF,CUST_5DFFC4BE,email,vidhi361@gmail.com,,,KA,Morning,1.0,deterministic
ID_CB65150B,CUST_5DFFC4BE,device_id,DEV_42A86A54,Mobile,Chrome,KA,Evening,1.0,deterministic
ID_B2BFB169,CUST_5DFFC4BE,phone,919571819931,,,TN,Night,1.0,deterministic
ID_E6F816AB,CUST_E5EB6418,email,samarth88@gmail.com,,,KA,Afternoon,1.0,deterministic
ID_E9F13C1F,CUST_E5EB6418,device_id,DEV_A810275C,Mobile,Edge,KA,Morning,1.0,deterministic
ID_C1061919,CUST_E5EB6418,phone,919982429523,,,KA,Morning,1.0,deterministic
ID_85D00509,CUST_CE38E4CB,email,yatin636@gmail.com,,,DL,Afternoon,1.0,deterministic
ID_0F142BFC,CUST_CE38E4CB,device_id,DEV_0F2E7DF6,Desktop,Firefox,MH,Evening,1.0,deterministic
ID_014FA237,CUST_11074403,email,ranbir41@gmail.com,,,KA,Afternoon,1.0,deterministic
ID_5D852290,CUST_11074403,device_id,DEV_37605FBE,Tablet,Safari,DL,Evening,1.0,deterministic
ID_EAD4BF20,CUST_11074403,phone,917407429575,,,TN,Evening,1.0,deterministic
ID_D00CFB2F,CUST_57C4461D,email,kabir903@gmail.com,,,DL,Evening,1.0,deterministic
ID_63717976,CUST_57C4461D,device_id,DEV_C92025B4,Mobile,Safari,TN,Afternoon,1.0,deterministic
ID_9F525DB6,CUST_57C4461D,phone,918221788716,,,DL,Afternoon,1.0,deterministic
ID_9A1D6462,CUST_3056D209,email,qushi490@gmail.com,,,TN,Afternoon,1.0,deterministic
ID_FF099C4C,CUST_3056D209,device_id,DEV_953B472E,Mobile,Edge,MH,Night,1.0,deterministic
ID_7C2042DB,CUST_3056D209,phone,917413214852,,,TN,Evening,1.0,deterministic
ID_E9D1440A,CUST_4AABB6B4,email,tanveer23@gmail.com,,,DL,Morning,1.0,deterministic
ID_CBC90DDA,CUST_4AABB6B4,device_id,DEV_C6762590,Desktop,Edge,MH,Evening,1.0,deterministic
ID_AD260D03,CUST_4AABB6B4,phone,918152016818,,,MH,Afternoon,1.0,deterministic
ID_0707BC5C,CUST_5064B994,email,abhimanyu433@gmail.com,,,DL,Evening,1.0,deterministic
ID_9D8D9C55,CUST_5064B994,device_id,DEV_D5E27C5B,Desktop,Chrome,TN,Morning,1.0,deterministic
ID_3181B764,CUST_E4673420,email,christopher69@gmail.com,,,MH,Morning,1.0,deterministic
ID_1F12F431,CUST_E4673420,device_id,DEV_CAB9DD08,Tablet,Chrome,TN,Morning,1.0,deterministic
ID_C646CF18,CUST_E4673420,phone,918957550615,,,MH,Evening,1.0,deterministic
ID_8915102F,CUST_A055F6DB,email,qabil453@gmail.com,,,TN,Night,1.0,deterministic
ID_008D3DB0,CUST_A055F6DB,device_id,DEV_395BBFD8,Tablet,Edge,KA,Morning,1.0,deterministic
ID_F83640A6,CUST_DA6228BE,email,balendra238@gmail.com,,,TN,Morning,1.0,deterministic
ID_21E96728,CUST_DA6228BE,device_id,DEV_BE0E83CB,Desktop,Firefox,DL,Night,1.0,deterministic
ID_2A12BF72,CUST_DA8A6EA9,email,vaishnavi667@gmail.com,,,DL,Morning,1.0,deterministic
ID_B1AF5F6A,CUST_DA8A6EA9,device_id,DEV_A2CE4162,Desktop,Firefox,MH,Morning,1.0,deterministic
ID_9A4AFC90,CUST_DA8A6EA9,phone,919321754575,,,MH,Morning,1.0,deterministic
ID_4B7C5900,CUST_B989B36C,email,falak833@gmail.com,,,KA,Evening,1.0,deterministic
ID_000F6CC5,CUST_B989B36C,device_id,DEV_9F8FF156,Tablet,Edge,KA,Evening,1.0,deterministic
ID_FF122AF6,CUST_D7A45459,email,gaurika740@gmail.com,,,TN,Morning,1.0,deterministic
ID_20AAB645,CUST_D7A45459,device_id,DEV_F945DF08,Desktop,Firefox,DL,Morning,1.0,deterministic
ID_DEAB0DFA,CUST_D7A45459,phone,918087601130,,,DL,Evening,1.0,deterministic
ID_FA69D28A,CUST_412E9C77,email,ijaya380@gmail.com,,,MH,Morning,1.0,deterministic
ID_FAB6BFEC,CUST_412E9C77,device_id,DEV_8D8C525A,Tablet,Safari,TN,Night,1.0,deterministic
ID_A4804BDD,CUST_9026C7A6,email,urvashi192@gmail.com,,,TN,Evening,1.0,deterministic
ID_DE636BF1,CUST_9026C7A6,device_id,DEV_3276DC75,Desktop,Firefox,DL,Morning,1.0,deterministic
ID_F55C9E0C,CUST_9026C7A6,phone,919373185472,,,MH,Evening,1.0,deterministic
ID_9B379441,CUST_C8846AC3,email,yadavi963@gmail.com,,,MH,Evening,1.0,deterministic
ID_D097AECF,CUST_C8846AC3,device_id,DEV_82CD2F08,Tablet,Edge,MH,Morning,1.0,deterministic
ID_5067DF39,CUST_CE311944,email,jeet326@gmail.com,,,KA,Afternoon,1.0,deterministic
ID_540F5095,CUST_CE311944,device_id,DEV_8AEA70DF,Mobile,Firefox,KA,Morning,1.0,deterministic
ID_3C7A7A60,CUST_2C0B530D,email,advaith340@gmail.com,,,MH,Morning,1.0,deterministic
ID_F057E9A7,CUST_2C0B530D,device_id,DEV_1295930D,Tablet,Firefox,DL,Morning,1.0,deterministic
ID_9038D4D2,CUST_2C0B530D,phone,919901088490,,,DL,Evening,1.0,deterministic
ID_6BBE5FE8,CUST_AA662E08,email,rushil595@gmail.com,,,DL,Night,1.0,deterministic
ID_99BF4118,CUST_AA662E08,device_id,DEV_642FCC99,Tablet,Edge,KA,Morning,1.0,deterministic
ID_ED6DAA71,CUST_3917DAA1,email,darsh462@gmail.com,,,DL,Afternoon,1.0,deterministic
ID_C43C1A20,CUST_3917DAA1,device_id,DEV_409040BE,Tablet,Edge,DL,Evening,1.0,deterministic
ID_0BBF73DD,CUST_3917DAA1,phone,919694615048,,,TN,Morning,1.0,deterministic
ID_3B290DBF,CUST_090EE7C3,email,damini426@gmail.com,,,TN,Afternoon,1.0,deterministic
ID_9E01FC05,CUST_090EE7C3,device_id,DEV_E761872E,Tablet,Edge,MH,Night,1.0,deterministic
ID_049611D3,CUST_090EE7C3,phone,919367078276,,,MH,Evening,1.0,deterministic
ID_6A53BEBC,CUST_538CA05B,email,vidhi252@gmail.com,,,TN,Afternoon,1.0,deterministic
ID_0C7B048D,CUST_538CA05B,device_id,DEV_5D06B495,Mobile,Edge,TN,Afternoon,1.0,deterministic
ID_48D7F184,CUST_89658641,email,vedhika995@gmail.com,,,KA,Night,1.0,deterministic
ID_B353CAAE,CUST_89658641,device_id,DEV_E4F78658,Mobile,Edge,KA,Night,1.0,deterministic
ID_9557F2FE,CUST_49288ADE,email,kai269@gmail.com,,,MH,Morning,1.0,deterministic
ID_E9BF8F60,CUST_49288ADE,device_id,DEV_D74D42C9,Mobile,Safari,KA,Afternoon,1.0,deterministic
ID_E6DC8523,CUST_49288ADE,phone,919656760051,,,KA,Afternoon,1.0,deterministic
ID_C0FE7DC3,CUST_949B7D14,email,david342@gmail.com,,,MH,Morning,1.0,deterministic
ID_9FEEFE4C,CUST_949B7D14,device_id,DEV_8706CD3F,Tablet,Firefox,MH,Night,1.0,deterministic
ID_A19F78AD,CUST_949B7D14,phone,918729841007,,,MH,Morning,1.0,deterministic
ID_CCFB9923,CUST_FC28FE99,email,yug199@gmail.com,,,KA,Afternoon,1.0,deterministic
ID_86A35E56,CUST_FC28FE99,device_id,DEV_42A90062,Tablet,Edge,MH,Afternoon,1.0,deterministic
ID_4EE9BC3E,CUST_10D83418,email,yashasvi500@gmail.com,,,DL,Night,1.0,deterministic
ID_40C9A2BB,CUST_10D83418,device_id,DEV_A13F3599,Mobile,Edge,DL,Night,1.0,deterministic
ID_8E7A03F0,CUST_10D83418,phone,917439539209,,,KA,Evening,1.0,deterministic
ID_6F848408,CUST_6392D950,email,hemal484@gmail.com,,,TN,Night,1.0,deterministic
ID_A478419F,CUST_6392D950,device_id,DEV_E4FD44C5,Tablet,Chrome,MH,Morning,1.0,deterministic
ID_B79CDB60,CUST_03A41A1A,email,atharv389@gmail.com,,,MH,Morning,1.0,deterministic
ID_0A117E37,CUST_03A41A1A,device_id,DEV_BE27FD4A,Desktop,Chrome,KA,Night,1.0,deterministic
ID_493878D7,CUST_8F04173D,email,janaki186@gmail.com,,,MH,Night,1.0,deterministic
ID_87168FC4,CUST_8F04173D,device_id,DEV_B13837FF,Tablet,Firefox,MH,Night,1.0,deterministic
ID_76F19B3E,CUST_8F04173D,phone,919439529566,,,TN,Morning,1.0,deterministic
ID_925E9976,CUST_19E10825,email,ryan692@gmail.com,,,MH,Night,1.0,deterministic
ID_D096AD7D,CUST_19E10825,device_id,DEV_3DE52AD9,Tablet,Chrome,DL,Afternoon,1.0,deterministic
ID_DFF87B45,CUST_19E10825,phone,917147514200,,,DL,Evening,1.0,deterministic
ID_2EDA84C9,CUST_B8B54386,email,yuvraj512@gmail.com,,,DL,Morning,1.0,deterministic
ID_04B2C49C,CUST_B8B54386,device_id,DEV_84D79BD0,Tablet,Chrome,KA,Afternoon,1.0,deterministic
ID_0CAEC0D5,CUST_B8B54386,phone,919928040643,,,DL,Evening,1.0,deterministic
ID_58CABFC4,CUST_8AC845C7,email,tanmayi325@gmail.com,,,DL,Night,1.0,deterministic
ID_F7FDF0D1,CUST_8AC845C7,device_id,DEV_C6B7C4BB,Tablet,Chrome,TN,Night,1.0,deterministic
ID_85631818,CUST_05A18D97,email,warjas478@gmail.com,,,MH,Night,1.0,deterministic
ID_86A94A93,CUST_05A18D97,device_id,DEV_4F31603A,Tablet,Chrome,TN,Afternoon,1.0,deterministic
ID_FEC2E39B,CUST_05A18D97,phone,917055042947,,,KA,Afternoon,1.0,deterministic
ID_25794A7A,CUST_238050B7,email,yutika689@gmail.com,,,MH,Night,1.0,deterministic
ID_50118AD3,CUST_238050B7,device_id,DEV_38C70113,Mobile,Chrome,TN,Night,1.0,deterministic
ID_349110E2,CUST_238050B7,phone,917517667222,,,DL,Afternoon,1.0,deterministic
ID_2C59DFE4,CUST_5FEE8FDB,email,jalsa820@gmail.com,,,DL,Evening,1.0,deterministic
ID_58CFDAEB,CUST_5FEE8FDB,device_id,DEV_E4384FC2,Mobile,Safari,KA,Night,1.0,deterministic
ID_BB42E313,CUST_5FEE8FDB,phone,917373287488,,,KA,Evening,1.0,deterministic
ID_E4B22B60,CUST_F3D325DC,email,vasudha808@gmail.com,,,KA,Afternoon,1.0,deterministic
ID_B00E7D99,CUST_F3D325DC,device_id,DEV_F51EFAFC,Tablet,Chrome,DL,Morning,1.0,deterministic
ID_ACEB48ED,CUST_F3D325DC,phone,919268824882,,,KA,Morning,1.0,deterministic
ID_AB3C37A7,CUST_DD059926,email,qarin447@gmail.com,,,MH,Afternoon,1.0,deterministic
ID_3F894CFC,CUST_DD059926,device_id,DEV_54109E11,Tablet,Safari,TN,Evening,1.0,deterministic
ID_A0B83813,CUST_DD059926,phone,917304575032,,,MH,Morning,1.0,deterministic
ID_194974E0,CUST_E3D4EBBE,email,yutika166@gmail.com,,,MH,Morning,1.0,deterministic
ID_DFFDA3D9,CUST_E3D4EBBE,device_id,DEV_804E4B30,Tablet,Chrome,KA,Evening,1.0,deterministic
ID_755B3733,CUST_FDA7DE19,email,bachittar297@gmail.com,,,TN,Morning,1.0,deterministic
ID_8D26921A,CUST_FDA7DE19,device_id,DEV_39820359,Desktop,Edge,TN,Night,1.0,deterministic
ID_1E34C8F1,CUST_FDA7DE19,phone,918859414753,,,TN,Morning,1.0,deterministic
ID_B2A671D5,CUST_9C916C23,email,wishi485@gmail.com,,,KA,Afternoon,1.0,deterministic
ID_CDD776A3,CUST_9C916C23,device_id,DEV_2364C381,Tablet,Edge,DL,Afternoon,1.0,deterministic
ID_C2DDF776,CUST_A28ED8B7,email,falak998@gmail.com,,,KA,Night,1.0,deterministic
ID_DD403EE6,CUST_A28ED8B7,device_id,DEV_1D81B300,Tablet,Edge,DL,Evening,1.0,deterministic
ID_0FF6587E,CUST_A28ED8B7,phone,918810450730,,,TN,Morning,1.0,deterministic
ID_BFBD1C29,CUST_900983AF,email,sathvik70@gmail.com,,,TN,Night,1.0,deterministic
ID_ABFF90F5,CUST_900983AF,device_id,DEV_96BC7D9A,Desktop,Safari,TN,Night,1.0,deterministic
ID_2999ADB5,CUST_343B6A8E,email,chasmum561@gmail.com,,,KA,Morning,1.0,deterministic
ID_101C0407,CUST_343B6A8E,device_id,DEV_3F595BEF,Desktop,Safari,DL,Night,1.0,deterministic
ID_E73668A6,CUST_343B6A8E,phone,917154592363,,,KA,Night,1.0,deterministic
ID_1C8D1E30,CUST_4E144664,email,ekta506@gmail.com,,,DL,Night,1.0,deterministic
ID_9F826CF7,CUST_4E144664,device_id,DEV_642CA94B,Tablet,Safari,TN,Morning,1.0,deterministic
ID_E26F6D8C,CUST_31BD9D1C,email,kevin505@gmail.com,,,MH,Evening,1.0,deterministic
ID_95527568,CUST_31BD9D1C,device_id,DEV_DDFA3DE0,Desktop,Safari,KA,Night,1.0,deterministic
ID_6DABC951,CUST_31BD9D1C,phone,917673205531,,,TN,Evening,1.0,deterministic
ID_59B2788F,CUST_6751D2C2,email,daniel866@gmail.com,,,MH,Evening,1.0,deterministic
ID_A05FEAA1,CUST_6751D2C2,device_id,DEV_19E08746,Desktop,Edge,DL,Night,1.0,deterministic
ID_3D5D8CF9,CUST_6751D2C2,phone,918443056368,,,TN,Night,1.0,deterministic
ID_9A1A9A83,CUST_C17B01C9,email,ekbal572@gmail.com,,,KA,Evening,1.0,deterministic
ID_E18AC009,CUST_C17B01C9,device_id,DEV_C3C2FFBA,Tablet,Chrome,KA,Morning,1.0,deterministic
ID_0127071C,CUST_C17B01C9,phone,917931277597,,,TN,Evening,1.0,deterministic
ID_A4C7204E,CUST_33417744,email,jasmit800@gmail.com,,,MH,Evening,1.0,deterministic
ID_D40AEE94,CUST_33417744,device_id,DEV_FE1DBE18,Mobile,Safari,DL,Morning,1.0,deterministic
ID_CE08D771,CUST_33417744,phone,919722891032,,,MH,Night,1.0,deterministic
ID_3F4518B3,CUST_A4882A26,email,avi210@gmail.com,,,KA,Night,1.0,deterministic
ID_41CCCF8A,CUST_A4882A26,device_id,DEV_96075B9F,Desktop,Edge,DL,Morning,1.0,deterministic
ID_63510B48,CUST_97CE52FE,email,owen55@gmail.com,,,KA,Morning,1.0,deterministic
ID_4D678D98,CUST_97CE52FE,device_id,DEV_C2FD298D,Tablet,Safari,KA,Afternoon,1.0,deterministic
ID_7B0F16AD,CUST_97CE52FE,phone,918832021440,,,MH,Evening,1.0,deterministic
ID_1218EDAD,CUST_723D9DCA,email,jeet394@gmail.com,,,MH,Night,1.0,deterministic
ID_62BEB6AB,CUST_723D9DCA,device_id,DEV_F8B2974C,Desktop,Chrome,DL,Evening,1.0,deterministic
ID_0C8BC91F,CUST_723D9DCA,phone,918081685079,,,KA,Evening,1.0,deterministic
ID_6C60F633,CUST_22F4550D,email,lajita187@gmail.com,,,TN,Evening,1.0,deterministic
ID_9EB005F7,CUST_22F4550D,device_id,DEV_4BEF28B8,Desktop,Chrome,MH,Night,1.0,deterministic
ID_83AB182E,CUST_AC45C3AC,email,alka399@gmail.com,,,KA,Morning,1.0,deterministic
ID_D43D7794,CUST_AC45C3AC,device_id,DEV_6F4EE0B9,Desktop,Chrome,TN,Morning,1.0,deterministic
ID_D2FDDB49,CUST_AC45C3AC,phone,919061293190,,,DL,Morning,1.0,deterministic
ID_3766088E,CUST_9D82044A,email,prisha960@gmail.com,,,TN,Afternoon,1.0,deterministic
ID_FA4BF8A0,CUST_9D82044A,device_id,DEV_6A1C9653,Mobile,Edge,MH,Morning,1.0,deterministic
ID_0719A478,CUST_D78DFB60,email,fitan690@gmail.com,,,MH,Night,1.0,deterministic
ID_7BF4AB92,CUST_D78DFB60,device_id,DEV_A0D8585E,Tablet,Edge,TN,Evening,1.0,deterministic
ID_2DD45F74,CUST_D78DFB60,phone,918933699561,,,TN,Night,1.0,deterministic
ID_8D4EA842,CUST_E1941A92,email,yoshita614@gmail.com,,,TN,Night,1.0,deterministic
ID_19A5642B,CUST_E1941A92,device_id,DEV_A26C80CE,Mobile,Safari,MH,Afternoon,1.0,deterministic
ID_6D81EBDA,CUST_5F4302E5,email,owen147@gmail.com,,,MH,Evening,1.0,deterministic
ID_988ABAFF,CUST_5F4302E5,device_id,DEV_E50F24AA,Desktop,Edge,KA,Afternoon,1.0,deterministic
ID_7608FDCD,CUST_5F4302E5,phone,919224803741,,,TN,Morning,1.0,deterministic
ID_7C15CBD2,CUST_B649101A,email,priya967@gmail.com,,,MH,Afternoon,1.0,deterministic
ID_46A27005,CUST_B649101A,device_id,DEV_816AC767,Tablet,Chrome,DL,Night,1.0,deterministic
ID_2F7FABA0,CUST_6331FF0E,email,deepa47@gmail.com,,,TN,Morning,1.0,deterministic
ID_81F51945,CUST_6331FF0E,device_id,DEV_9B4E46FD,Desktop,Safari,KA,Morning,1.0,deterministic
ID_B5FEDF15,CUST_6331FF0E,phone,918718513829,,,KA,Night,1.0,deterministic
ID_256B14B2,CUST_587CCF42,email,aarini965@gmail.com,,,TN,Evening,1.0,deterministic
ID_FA63BA2D,CUST_587CCF42,device_id,DEV_8B6D0FE0,Desktop,Firefox,KA,Afternoon,1.0,deterministic
ID_260770D3,CUST_71A33694,email,manya410@gmail.com,,,DL,Afternoon,1.0,deterministic
